municipality_id,municipality_name,RC1,RC2,RC3
1137,Nebikon,-1.7936101000026758,9.987250330866456,-2.106421580984127
1139,Pfaffnau,-6.147378611062603,4.289912808253498,-0.573060299420271
114,Fischenthal,-13.26027983351888,2.4115762504925935,1.5948244730266703
1140,Reiden,-4.007836889605039,5.888386324641637,-0.6467850990317404
1142,Roggliswil,-10.274502234497492,5.838992932705004,-4.8122648829834915
1143,Schötz,-2.0992766821789424,8.778380234096042,-2.06211110731875
1145,Ufhusen,-11.727896369899048,8.27265111128787,-5.943178271224486
1146,Wauwil,-2.694853816802868,7.97654527681139,-1.4341630410933162
1147,Wikon,-5.0173419574263285,2.7458460141367333,2.900123644826654
115,Gossau (ZH),-1.7638576222777362,5.20334987663825,3.9302295005031698
1150,Zell (LU),-5.376307722321316,8.301263595822578,-1.8845002813620113
