geo_id,geo_name,factor_1,factor_2
81,Bachs,1.1437866786349902,0.09291642419534517
3291,Bad Ragaz,0.6063926839912358,-0.6602002652372154
4021,Baden,-1.0387742281475587,-1.77930222733491
5242,Balerna,-0.5533589723217256,2.1964823326483915
3232,Balgach,0.5636158831461864,-1.0080712649179107
5744,Ballaigues,-1.438495193010318,0.6974334553239124
5423,Ballens,-0.8369253606551796,-0.09394120396054384
1023,Ballwil,1.041971807630976,-0.7784000777074753
2541,Balm bei Günsberg,0.033355791971034186,-0.7082337159490146
2422,Balsthal,0.6262427562791771,-0.22213354015976547
6281,Baltschieder,0.4487580844052753,-0.605387553536991
323,Bannwil,0.8028156897266915,1.0932072358812828
6605,Bardonnex,-1.905983517306545,-0.11833513091961816
302,Bargen (BE),0.25413341905392767,-0.2689983679638196
