proposal_id,title_de,correlation
127,Volksinitiative «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,-0.031204248979789725
143,Bundesgesetz über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel),-0.030605814167307996
44,Volksinitiative «für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre»,-0.030354034567000893
59,"Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG)",-0.023389126480067125
60,Bundesbeschluss zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA),-0.020923867156725263
121,Bundesgesetz über die Abgabe für die Benützung von Nationalstrassen,-0.018786955471178094
36,Elektrizitätsmarktgesetz,-0.01744327810457907
37,Volksinitiative «gegen Asylrechtsmissbrauch»,-0.013291899552496643
119,Volksinitiative «1:12 - Für gerechte Löhne»,-0.011439333757992769
40,Bundesgesetz über die Anpassung der kantonalen Beiträge an Spitalbehandlungen,-0.008694976777158232
25,Volksinitiative «für eine gesicherte AHV - Energie statt Arbeit besteuern!»,-0.00842764148181971
34,"Gold für AHV, Kantone und Stiftung (Gegenvorschlag zur Goldinitiative)",-0.00544191175026754
221,Volksinitiative «Für eine verantwortungsvolle Wirtschaft innerhalb der planetaren Grenzen (Umweltverantwortungsinitiative)»,-0.005210674542644079
204,Änderung des Bundesgesetzes über die Alters- und Hinterlassenenversicherung (AHV 21),-0.004249365611710811
109,Volksinitiative «Schutz vor Passivrauchen»,-0.003391365779424734
168,Volksinitiative «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»,-0.00322847438101483
73,Bundesgesetz über die Familienzulagen,-0.0020570414354081183
163,Bundesgesetz über Geldspiele (Geldspielgesetz),-0.0015505002712844968
66,Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,0.002556951806457278
116,Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,0.0069980810803367665
167,Volksinitiative «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»,0.017415665766700658
183,"Bundesgesetz über elektronische Identifizierungsdienste (EID-Gesetz, BGEID)",0.020217024885431662
57,Bundesbeschluss über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation,0.024015517130020234
203,Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,0.02425689748254559
16,Volksinitiative «für tiefere Spitalkosten»,0.025367509975887294
