proposal_id,title,voting_date,f_statistic,p_value,eta_squared,mean_range,n_municipalities,n_groups,category,significant,highly_significant
81,Volksinitiative «für die Unverjährbarkeit pornografischer Straftaten an Kindern»,20081130,117.31492804553491,8.711088713106738e-128,0.2533900470027542,11.433423210014162,2081,7,Grossregionen,True,True
82,Volksinitiative «für ein flexibles AHV-Alter»,20081130,182.84379871304293,3.914470394163209e-187,0.34596060189967737,27.273210738990485,2081,7,Grossregionen,True,True
83,Volksinitiative «Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!»,20081130,95.20931778408688,6.842666484915128e-106,0.2159548742549435,11.743707141407988,2081,7,Grossregionen,True,True
84,Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»,20081130,105.51294798485313,3.161307423192591e-116,0.23386018463256295,10.487093062743664,2081,7,Grossregionen,True,True
85,Bundesgesetz über die Betäubungsmittel und psychotropen Stoffe,20081130,90.14068500152098,1.0130316940803328e-100,0.20683608171472936,11.626141770142489,2081,7,Grossregionen,True,True
86,Weiterführung des Freizügigkeitsabkommens zwischen der CH und der EU sowie über die Genehmigung des Protokolls über die Ausdehnung des Abkommens auf Bulgarien und Rumänien,20090208,165.73317824007765,2.2799286575647104e-172,0.3240774902274362,31.147786293225572,2081,7,Grossregionen,True,True
87,Verfassungsartikel «Zukunft mit Komplementärmedizin» (Gegenentwurf zur Volksinitiative «Ja zur Komplementärmedizin»),20090517,202.1857680966843,2.8911297908619354e-203,0.3690515096168558,15.339153592240919,2081,7,Grossregionen,True,True
88,Bundesbeschluss über die Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Verordnung über biometrische Pässe,20090517,9.913673580312542,8.258924327631873e-11,0.027880263496645227,4.648544934842789,2081,7,Grossregionen,True,True
89,Bundesbeschluss über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze,20090927,107.65931650776503,2.375615090684221e-118,0.23748763694036878,15.91140388768899,2081,7,Grossregionen,True,True
90,Bundesbeschluss über den Verzicht auf die Einführung der allgemeinen Volksinitiative,20090927,85.70974454379824,3.7433020699569976e-96,0.19868899252810837,11.610353826470948,2081,7,Grossregionen,True,True
91,Bundesbeschluss zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr,20091129,22.737698422978056,4.309144952247852e-26,0.06171940557068387,7.950779553739537,2081,7,Grossregionen,True,True
92,Volksinitiative «Für ein Verbot von Kriegsmaterial-Exporten»,20091129,141.46982318171254,1.42543070964077e-150,0.2904110575369645,17.02608793918225,2081,7,Grossregionen,True,True
93,Volksinitiative «Gegen den Bau von Minaretten»,20091129,128.60578933686648,1.4040769241994598e-138,0.2711643649318496,15.387380803084142,2081,7,Grossregionen,True,True
94,Volksinitiative «Für die Ausschaffung krimineller Ausländer»,20101128,112.64416566731603,3.0215551166095756e-123,0.2457811548849219,16.016026193063794,2081,7,Grossregionen,True,True
95,Bundesbeschluss über die Aus- und Wegweisung krimineller Ausländerinnen und Ausländer im Rahmen der Bundesverfassung (Gegenentwurf zur Ausschaffungsinitiative),20101128,4.381721135122314,0.00020874041855149325,0.012517472691813697,3.2048400794466048,2081,7,Grossregionen,True,True
96,Ausschaffungsinitiative und Gegenvorschlag: Stichfrage,20101128,102.8523462090939,1.4013341093049998e-113,0.22931546546853707,15.502209214345655,2081,7,Grossregionen,True,True
97,Volksinitiative «Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewerb»,20101128,145.48177057993618,3.000219860186609e-154,0.2962073368196235,18.863923566878984,2081,7,Grossregionen,True,True
98,Volksinitiative «Für den Schutz vor Waffengewalt»,20110213,77.5339439316142,1.3204917400962424e-87,0.18320848786584662,14.842658513433566,2081,7,Grossregionen,True,True
99,Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»,20120311,82.56293396460012,6.992157391988411e-93,0.19280062341064577,10.585416067392636,2081,7,Grossregionen,True,True
100,Volksinitiative «Für ein steuerlich begünstigtes Bausparen zum Erwerb von selbst genutztem Wohneigentum und zur Finanzierung von baulichen Energiespar- und Umweltschutzmassnahmen»,20120311,254.59958053220063,2.7109829588605435e-244,0.4241444221131631,19.852736113964802,2081,7,Grossregionen,True,True
101,Volksinitiative «6 Wochen Ferien für alle»,20120311,131.74063323747558,1.5686233040280285e-141,0.2759501860652896,21.614612012875835,2081,7,Grossregionen,True,True
102,Bundesbeschluss über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,20120311,104.74407092284922,1.8329747254025936e-115,0.2325523398563119,9.61134239451927,2081,7,Grossregionen,True,True
103,Bundesgesetz über die Buchpreisbindung,20120311,277.47921732933327,4.249963640688134e-261,0.44528773190310333,24.697713483274704,2081,7,Grossregionen,True,True
104,Volksinitiative «Eigene vier Wände dank Bausparen»,20120617,175.3112101789301,1.0805576300731922e-180,0.33650413572338195,14.272311827956987,2081,7,Grossregionen,True,True
105,Volksinitiative «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)»,20120617,109.4963839105197,3.6773999063832416e-120,0.24056518597383672,16.928005062820784,2081,7,Grossregionen,True,True
106,Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care),20120617,414.201067573745,0.0,0.5450962699288633,19.654357063199647,2081,7,Grossregionen,True,True
107,Bundesbeschluss über die Jugendmusikförderung,20120923,78.6706827135511,8.373678774663122e-89,0.18539655495434595,13.674576398876788,2081,7,Grossregionen,True,True
108,Volksinitiative «Sicheres Wohnen im Alter»,20120923,125.78420941775833,6.617522077441769e-136,0.26680236647865213,13.408989228031572,2081,7,Grossregionen,True,True
109,Volksinitiative «Schutz vor Passivrauchen»,20120923,138.69475323732132,5.183962465658363e-148,0.2863455831490745,22.800000684884598,2081,7,Grossregionen,True,True
110,Änderung des Tierseuchengesetzes (TSG),20121125,302.8886250084229,4.679426055110516e-279,0.46702051297140995,32.117881443369875,2081,7,Grossregionen,True,True
111,Bundesbeschluss über die Familienpolitik,20130303,205.50183756362756,5.651546878976041e-206,0.3728475701829343,27.194477090610235,2081,7,Grossregionen,True,True
112,Volksinitiative «gegen die Abzockerei»,20130303,83.24484663953929,1.3606826241390462e-93,0.19408396384106785,7.577282823094308,2081,7,Grossregionen,True,True
113,Bundesgesetz über die Raumplanung,20130303,275.0816988611701,2.2924218193967085e-259,0.4431452648727662,24.256306967140738,2081,7,Grossregionen,True,True
114,Volksinitiative «Volkswahl des Bundesrates»,20130609,69.82242778105609,2.129560338052778e-79,0.16804876160195162,10.203102255045405,2081,7,Grossregionen,True,True
115,Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes),20130609,169.09219634615275,2.637469438405687e-175,0.3284881689194772,11.751176211635553,2081,7,Grossregionen,True,True
116,Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,20130922,86.66812707448432,3.8149831558727695e-97,0.20046530681584393,12.467323189940984,2081,7,Grossregionen,True,True
117,Bundesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz),20130922,176.0124463424322,2.692520094598961e-181,0.33739600063183367,18.003903428902163,2081,7,Grossregionen,True,True
118,Arbeitsgesetz (Liberalisierung der Öffnungszeiten von Tankstellenshops),20130922,86.88756656116203,2.263120359866558e-97,0.20087091949785169,15.398107526881724,2081,7,Grossregionen,True,True
119,Volksinitiative «1:12 - Für gerechte Löhne»,20131124,179.29686263986963,4.1134079924415055e-184,0.34154155980457584,21.224511334840084,2081,7,Grossregionen,True,True
120,"Volksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen»",20131124,66.37057605236127,1.1192487767393878e-75,0.16107907046067682,10.919288219999729,2081,7,Grossregionen,True,True
121,Bundesgesetz über die Abgabe für die Benützung von Nationalstrassen,20131124,32.948499254702284,4.1336449138128596e-38,0.08702371753788918,5.922615134915809,2081,7,Grossregionen,True,True
122,Bundesbeschluss über die Finanzierung und den Ausbau der Eisenbahninfrastruktur (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Für den öffentlichen Verkehr»),20140209,192.24203009883104,4.815190458337067e-195,0.3573878452882483,18.76277419354838,2081,7,Grossregionen,True,True
123,Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankenversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,20140209,249.24479835088596,2.871078044700696e-240,0.41896116146212115,26.33227758594599,2081,7,Grossregionen,True,True
124,Volksinitiative «Gegen Masseneinwanderung»,20140209,173.04322254377732,9.79508884186534e-179,0.33360309132948224,24.162795698924732,2081,7,Grossregionen,True,True
125,Bundesbeschluss über die medizinische Grundversorgung (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Ja zur Hausarztmedizin»),20140518,44.36058571035926,2.9680423873071407e-51,0.11373714385341864,4.182767192637328,2081,7,Grossregionen,True,True
126,Volksinitiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,20140518,180.87892797279395,1.8365395312192164e-185,0.3435199720864561,21.16039967539055,2081,7,Grossregionen,True,True
127,Volksinitiative «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,20140518,104.89697665488976,1.291995401666769e-115,0.23281278507424377,16.797452229299363,2081,7,Grossregionen,True,True
128,Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen,20140518,181.9061082019536,2.4519309954621058e-186,0.34479813376884927,23.051979337194417,2081,7,Grossregionen,True,True
129,Volksinitiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,20140928,42.679252943683075,2.4465004565231196e-49,0.10990009367551926,10.128356664637856,2081,7,Grossregionen,True,True
130,Volksinitiative «Für eine öffentliche Krankenkasse»,20140928,211.31216222039578,1.1077288038537028e-210,0.3793899359561531,24.160936429544236,2081,7,Grossregionen,True,True
131,Volksinitiative «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)»,20141130,287.61185731850844,2.4058882965645403e-268,0.4541632890194793,19.154286509909397,2081,7,Grossregionen,True,True
132,Volksinitiative «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen»,20141130,210.8043637166466,2.843960205055244e-210,0.3788236084301432,17.960850228755895,2081,7,Grossregionen,True,True
133,Volksinitiative «Rettet unser Schweizer Gold (Gold-Initiative)»,20141130,94.72621036527114,2.1161614217275426e-105,0.2150947831029555,13.743613878631642,2081,7,Grossregionen,True,True
134,Volksinitiative «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,20150308,53.42247137983106,1.8571205697069254e-61,0.1338610006810231,8.099216879691625,2081,7,Grossregionen,True,True
135,Volksinitiative «Energie- statt Mehrwertsteuer»,20150308,44.30191772256325,3.4610570809047443e-51,0.11360381193769505,3.2123244630995558,2081,7,Grossregionen,True,True
136,Bundesbeschluss über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,20150614,231.14492571677786,2.159369973859959e-226,0.4007286413257804,27.942410064519677,2081,7,Grossregionen,True,True
137,Volksinitiative «Stipendieninitiative»,20150614,127.39104466303064,1.978714970528037e-137,0.2692928190620817,13.671406363924003,2081,7,Grossregionen,True,True
138,Volksinitiative «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»,20150614,82.91998943431153,2.9666506021153753e-93,0.19347310107287846,9.192149167865214,2081,7,Grossregionen,True,True
139,Bundesgesetz über Radio und Fernsehen,20150614,115.68718792076854,3.290011928980225e-126,0.250755871594964,12.32144158148877,2081,7,Grossregionen,True,True
140,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe»,20160228,19.842329012807454,1.1975047649132964e-22,0.05428684176683812,5.499587389336213,2081,7,Grossregionen,True,True
141,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)»,20160228,95.33960255197485,5.047584385573069e-106,0.216186501658795,19.92249982582039,2081,7,Grossregionen,True,True
142,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!»,20160228,38.499545081169906,1.5227320717701943e-44,0.10021585424186316,8.091670433531952,2081,7,Grossregionen,True,True
143,Bundesgesetz über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel),20160228,199.25260597317762,7.425898645036773e-201,0.365655274051704,16.644595547550537,2081,7,Grossregionen,True,True
144,Volksinitiative «Pro Service public»,20160605,133.78442395887998,1.9109366917648117e-143,0.27903664539448564,9.905286235165708,2081,7,Grossregionen,True,True
145,Volksinitiative «Für ein bedingungsloses Grundeinkommen»,20160605,44.36791010460401,2.911647089233748e-51,0.11375378683573187,7.629810971851244,2081,7,Grossregionen,True,True
