municipality_id,municipality_name,PC1,PC2,PC3,final_cluster,cluster_profile
2831,Pratteln,4.962814378166176,0.517234377701982,6.660772126482589,2,"moderat, gemischt, neutral"
2832,Ramlinsburg,3.7986091333846606,5.336251114058384,5.683244529252818,2,"moderat, gemischt, neutral"
2833,Seltisberg,1.474195091866684,7.600441557870441,1.713797550825141,2,"moderat, gemischt, neutral"
2834,Ziefen,4.525423760184348,-1.7051075341262267,8.627562376560608,2,"moderat, gemischt, neutral"
2841,Anwil,-1.6025974109189753,-3.057111233830887,6.0712030464140545,2,"moderat, gemischt, neutral"
2842,Böckten,-0.3856705675791798,1.0495519429787048,3.6273484180254743,2,"moderat, gemischt, neutral"
2843,Buckten,1.8447793933406114,-5.794050830777786,7.646232954736713,1,"liberal, populistisch, neutral"
2844,Buus,-5.350526884733368,-1.5317606025917614,1.9117506985479056,0,"konservativ, gemischt, neutral"
2845,Diepflingen,-6.282102982522525,1.1920675529175795,-1.2604565198100512,0,"konservativ, gemischt, neutral"
2846,Gelterkinden,5.470826063063062,0.8782542190083936,7.587266178490074,2,"moderat, gemischt, neutral"
2847,Häfelfingen,-6.47256008726363,-7.0867297193799175,3.235105333930944,0,"konservativ, gemischt, neutral"
2848,Hemmiken,-7.58119546670633,-2.779834906035136,0.631843365346309,0,"konservativ, gemischt, neutral"
2849,Itingen,1.3349388768041213,1.6966243198105468,4.13224455030724,2,"moderat, gemischt, neutral"
2850,Känerkinden,-2.027580948956986,1.61515621935238,0.8698796247657361,2,"moderat, gemischt, neutral"
2851,Kilchberg (BL),1.9297947817953578,-1.9545545794458503,4.441385627748594,2,"moderat, gemischt, neutral"
2852,Läufelfingen,-4.310748492893693,-7.773127535477039,5.150113284857754,0,"konservativ, gemischt, neutral"
2853,Maisprach,4.509770391839978,1.723937802994872,6.639857862398771,2,"moderat, gemischt, neutral"
2854,Nusshof,0.12268200909043246,2.0596343343878543,2.1589335966806393,2,"moderat, gemischt, neutral"
