municipality_id,municipality_name,PC1,PC2,PC3,kmeans_cluster,hier_cluster,gmm_cluster,dbscan_cluster
580,Hofstetten bei Brienz,-7.759869054511622,-1.364339191780034,1.6314612683070058,0,3,0,0
5803,Vulliens,7.534584047489768,-0.5719772479452502,-6.72497045326922,3,0,3,0
5804,Jorat-Menthue,10.258616494264032,-0.8527485585018683,-6.460383283835956,3,0,3,0
5805,Oron,13.88338460847767,-4.707715174271306,-1.7283453066216525,3,0,3,0
5806,Jorat-Mézières,15.331312158696631,-2.063950916191685,-2.90322309273454,3,0,3,0
581,Interlaken,1.4949218026781057,3.858219068159324,5.5702199901422444,1,3,1,0
5812,Champtauroz,15.153156791880756,-8.879724346054108,-0.10541784601015525,3,1,3,-1
5813,Chevroux,5.532413185112236,-2.2284327881140578,-7.423170589899654,3,0,3,0
5816,Corcelles-près-Payerne,6.735590711317355,-0.21316657370821807,-9.084449190610275,3,0,3,0
5817,Grandcour,5.470556186053,-1.4266979588784876,-7.802016405763054,3,0,3,0
5819,Henniez,4.28811817920774,-10.17404996644194,-6.395183221674886,2,0,2,-1
582,Iseltwald,-9.409556862858041,-2.7601711326191984,-0.31706902545211346,0,2,0,0
5821,Missy,10.427725029161545,4.076790674644681,-7.349956298080656,3,0,3,0
5822,Payerne,8.263743859858627,-0.7680914389088263,-6.92067698058625,3,0,3,0
5827,Trey,7.723715296908937,-0.5672882899643239,-8.976317935234906,3,0,3,0
5828,Treytorrens (Payerne),-2.2129871673347252,-3.3679737658028697,-11.869674407618847,0,0,0,-1
5830,Villarzel,8.51037181146129,-3.694637434705733,-3.7036846890833393,3,0,3,0
5831,Valbroye,5.705785970669862,-1.5671450599427257,-8.332496262529887,3,0,3,0
584,Lauterbrunnen,-6.059570757909139,1.9094078419235054,-0.4401220524839044,0,2,0,0
5841,Château-d'Oex,6.454281540365859,1.0805168463160986,-9.973712154139843,3,0,3,0
5842,Rossinière,7.992346416227519,0.5968798401166071,-9.927366389481927,3,0,3,0
5843,Rougemont,1.2565936186416207,2.1087815581283667,-12.43677916616446,3,0,3,0
585,Leissigen,-3.600611640882229,0.2916359796022896,3.076571079160617,1,3,1,0
5851,Allaman,14.685573718049957,2.2838921270416503,-2.3984538559350588,3,0,3,0
5852,Bursinel,10.810479540565622,6.780780390303091,-9.281172941779671,3,0,3,0
5853,Bursins,14.611609665306075,8.133180879366178,-7.313032340326751,3,0,3,0
5854,Burtigny,7.709325758435064,0.16227707627715193,-7.455063404888148,3,0,3,0
5855,Dully,6.677748638403475,12.923702057660867,-12.27497235266259,3,0,3,0
5856,Essertines-sur-Rolle,12.52630636597881,7.728177481908742,-8.28630977490792,3,0,3,0
5857,Gilly,10.375280534316902,3.7686826271588223,-7.110817586647346,3,0,3,0
5858,Luins,8.60206206810897,4.28888021486919,-10.452639636512092,3,0,3,0
5859,Mont-sur-Rolle,11.93045244323237,4.594879457919318,-6.541957378675487,3,0,3,0
586,Lütschental,-16.88894557316993,-5.185875667641521,-4.54872246584103,0,2,0,-1
5860,Perroy,11.582647182349532,4.078825053611729,-6.836535361207921,3,0,3,0
5861,Rolle,16.76742130326596,3.709456764349329,-2.548746890904374,3,0,3,0
5862,Tartegnin,11.096638509536762,3.8244508538217477,-8.81229981456357,3,0,3,0
5863,Vinzel,13.74891397859773,9.11598759878068,-8.772038407060753,3,0,3,0
587,Matten bei Interlaken,-1.0166923983004945,1.923978463334814,3.492763824573369,1,3,1,0
5871,L'Abbaye,11.85599251428873,-4.298618632891363,-4.890927392412231,3,0,3,0
5872,Le Chenit,15.460951382327051,-6.258711159674336,-2.0556514079578707,3,1,3,0
5873,Le Lieu,15.674844670300857,-5.187380773139418,-0.7732900335680377,3,1,3,0
588,Niederried bei Interlaken,-4.778180957724693,-3.54907405774518,3.6484192911775706,0,3,0,-1
5882,Chardonne,16.048595132516276,4.470769400762742,-3.0134449467723665,3,0,3,0
5883,Corseaux,13.379792285486463,7.590267474888278,-6.093853499788062,3,0,3,0
5884,Corsier-sur-Vevey,15.955881100755477,-2.83961444792469,1.1019530390546102,3,0,3,0
5885,Jongny,16.108202369790753,4.56487582302386,-2.7002606941737706,3,0,3,0
5886,Montreux,15.530575814978983,-0.38633181561997393,-0.19215883351986743,3,0,3,0
5889,La Tour-de-Peilz,17.82316198038764,1.940157680414665,-1.2127613303573685,3,0,3,0
589,Oberried am Brienzersee,-3.543634856754903,-5.4090381530876925,7.539819989731256,0,3,0,-1
5890,Vevey,22.92768396538417,-3.3120076232347695,6.250364690130926,3,1,3,0
5891,Veytaux,12.448287901226081,2.0361311869748238,-4.6634178582632035,3,0,3,0
5892,Blonay - Saint-Légier,14.420332847522644,6.243576303081491,-5.571688449436673,3,0,3,0
59,Hochfelden,-8.134052982984528,0.8268486392532767,1.8014684321473649,0,3,0,0
590,Ringgenberg (BE),-2.70631552574834,0.3221649165744368,4.718328708134842,1,3,1,0
5902,Belmont-sur-Yverdon,7.888851600751302,1.0063792475887559,-7.689046372413372,3,0,3,0
5903,Bioley-Magnoux,-0.6190446146481086,-2.3530824575813942,-10.574023402279895,0,0,0,-1
5904,Chamblon,13.013634922669889,3.419980919988433,-5.564497238859337,3,0,3,0
5905,Champvent,7.685456744400927,-1.5277314930987045,-9.177212741062478,3,0,3,0
5907,Chavannes-le-Chêne,3.5754574966122554,0.8765479469343176,-11.928721116998116,3,0,3,0
5908,Chêne-Pâquier,10.135603714787349,-3.740525450282313,-4.5982171566319625,3,0,3,-1
5909,Cheseaux-Noréaz,12.37265973725033,6.5328803730617855,-8.230229409138076,3,0,3,0
591,Saxeten,-7.345229705310129,-12.024629017010596,1.7416195865160817,0,1,0,-1
5910,Cronay,11.856598986545583,-2.186761582201447,-5.636133853215038,3,0,3,0
5911,Cuarny,-2.80550172221204,-5.969824535890406,-12.251284673747042,0,0,0,-1
5912,Démoret,3.3067916120932357,0.695118019563507,-10.706349731964337,3,0,3,-1
5913,Donneloye,8.978244034923618,-1.1521400360562826,-6.001455333547,3,0,3,0
5914,Ependes (VD),10.822842289976307,-1.352351225249578,-8.152156911011307,3,0,3,0
5919,Mathod,12.450961161104688,-0.14649892846561932,-5.673091483193101,3,0,3,0
592,Schwanden bei Brienz,-1.6795102382174611,1.6720144404700061,3.1012261213368193,1,3,1,0
5921,Molondin,4.60525304049534,0.8150242249058721,-10.789756127269309,3,0,3,-1
5922,Montagny-près-Yverdon,12.691705922196252,-1.0524800219260297,-4.06932671842324,3,0,3,0
5923,Oppens,11.606229378307232,-2.254921878493034,0.15465323622691984,3,0,3,-1
5924,Orges,11.326593810139094,-3.0306083612776447,-4.362748009655163,3,0,3,0
5925,Orzens,8.924812255472363,-5.9912500253738425,-2.8492952143909673,3,0,3,0
5926,Pomy,8.235416157997609,0.8897702841303765,-9.270746416076504,3,0,3,0
5928,Rovray,0.41980447012247657,2.157784384511201,-11.67291089977567,3,0,3,-1
5929,Suchy,11.230373883855176,3.90228501421326,-10.454029617080092,3,0,3,0
593,Unterseen,1.0337644050165398,3.5550283398382048,4.542100892298409,1,3,1,0
5930,Suscévaz,6.9523175569675635,0.5207092485070273,-8.589570391053977,3,0,3,0
5931,Treycovagnes,14.409436962676233,-2.515453415720924,-2.569542943451335,3,0,3,0
5932,Ursins,5.391562115886008,3.0043714840672133,-11.154649277794446,3,0,3,0
5933,Valeyres-sous-Montagny,12.99143043530346,-4.434999932359484,-3.8848133318643474,3,0,3,0
5934,Valeyres-sous-Ursins,6.23034833100352,-1.3676098888390809,-7.056572803049315,3,0,3,-1
5935,Villars-Epeney,5.413953523125768,4.5219350414525925,-7.724405718977683,3,0,3,-1
5937,Vugelles-La Mothe,7.242901832723934,-3.146619744484195,-5.364241751326486,3,0,3,-1
5938,Yverdon-les-Bains,18.011804849049653,-5.55627609555233,2.1015646283739553,3,1,3,0
5939,Yvonand,14.483589629290119,-3.387500653658819,-2.768050336016434,3,0,3,0
594,Wilderswil,-5.836139087687528,-0.7254971949456072,2.0340633574986917,0,3,0,0
6,Kappel am Albis,-4.758868013193862,3.396088897746162,3.137714779275004,1,3,1,0
60,Höri,-12.518351719967301,-2.483588145481096,0.3906703991724522,0,2,0,0
6002,Brig-Glis,-1.1549630772875086,3.6623807145356744,0.008577410196298377,1,3,1,0
6004,Eggerberg,-7.244673428674798,-6.0084723606600035,-2.190695674734178,0,3,0,-1
6007,Naters,-3.91491668469253,-0.23173343897464063,-0.6479212397566455,1,3,1,0
6008,Ried-Brig,-2.9872330983166453,2.7497592289298165,-1.9244613890474236,1,3,1,0
6009,Simplon,-6.476391166312931,1.2210269961362121,-5.702431665313154,0,3,0,-1
6010,Termen,-3.5602060589720383,3.358017788348216,-4.4623605994704425,1,3,1,0
6011,Zwischbergen,-23.20187731462753,-11.510258616051104,-4.797328680765227,0,2,0,-1
602,Arni (BE),-10.098752257062825,-1.9811379930979949,-1.0214328543756297,0,2,0,0
6021,Ardon,3.82170566249511,-1.6636518437156802,-8.207979882919389,2,1,2,0
6022,Chamoson,1.6614044211157257,-5.254143771008436,-6.678795765337662,2,1,2,0
6023,Conthey,3.9937868064230355,-3.0843794506845166,-7.079532500644818,2,1,2,0
6024,Nendaz,5.570586114121959,-6.161962472058471,-6.475473909625187,2,1,2,0
6025,Vétroz,3.464126233292266,-2.6644770010606007,-8.506985199285182,2,1,2,0
603,Biglen,-0.3209836280256399,4.5614804862495495,0.9667634700054746,1,3,1,0
6032,Bourg-Saint-Pierre,-3.9636878789426286,-3.2866982742172732,-13.465445178954827,0,1,0,-1
6033,Liddes,1.133816773457205,-5.233539351438816,-10.691615535413517,2,1,2,0
6034,Orsières,-1.7017302667232093,-2.041713557189192,-11.513569573050724,2,1,2,0
6035,Sembrancher,-3.1998199672034398,-9.038952068859158,-9.485556053748777,2,1,2,0
6037,Val de Bagnes,4.7042664407228925,0.09561332751524437,-10.205169792325265,2,1,2,0
605,Bowil,-7.986709558176252,-2.6165219091865684,-0.7613495444832851,0,2,0,0
6052,Bellwald,0.17342994507082635,1.4368357971375503,-1.5277803966817158,1,3,1,0
6054,Binn,-2.946450325357821,1.1067294384669715,-3.9396667077489553,1,3,1,-1
6056,Ernen,0.6155345545548222,0.30653872406659655,1.788991967980821,1,3,1,0
6057,Fiesch,-1.7583133063058074,4.478742596910861,-2.2238458729182597,1,3,1,0
6058,Fieschertal,-9.85217101090816,-2.652670104740092,-5.751641555753828,0,3,0,-1
606,Brenzikofen,-7.1285179467541635,-2.9125991763384116,3.8989021444301475,0,2,0,0
6061,Lax,1.1672899083658124,5.9677809968656845,-1.9631327181448643,1,3,1,-1
607,Freimettigen,-2.5734130265434203,-0.24459556804523847,4.573377807043653,1,3,1,0
6076,Obergoms,-4.442508717945967,4.301328058275915,-5.672593716205787,1,3,1,0
6077,Goms,-3.0903795015746067,1.9940739822063172,-2.1764582293332833,1,3,1,0
608,Grosshöchstetten,0.664163935496255,5.411389241958378,2.5772849844392587,1,3,1,0
6082,Ayent,10.355452902930525,-5.810449015893718,-3.4167048346858575,2,1,2,0
6083,Evolène,-0.40051315465330994,-3.954356253708776,-11.783501085535182,2,1,2,0
6084,Hérémence,-1.0400487599076371,-1.2460241549852964,-11.745947040338345,2,1,2,0
6087,Saint-Martin (VS),0.640581764597253,2.4404611846592115,-12.690630170217453,2,1,2,0
6089,Vex,2.755558427165224,-2.1686314696710123,-8.31469881039927,2,1,2,0
609,Häutligen,-12.639105066581706,-3.6066348394941508,-1.1113495071158959,0,2,0,0
6090,Mont-Noble,8.949133278455596,-3.202163305065687,-2.7474791266769985,2,1,2,0
61,Hüntwangen,-4.267517471394025,4.7113962549580695,3.1448883984886726,1,3,1,0
610,Herbligen,-9.902022545878923,-0.6154187294792037,-2.337352785325477,0,2,0,0
6101,Agarn,-5.266224809349362,-4.889475026721165,-4.243666947850134,0,3,0,0
6102,Albinen,-3.135644133329792,-5.645879753144223,-0.5123456257778102,0,3,0,-1
6104,Ergisch,-12.854202271879767,-6.730617437646709,-3.4250575921547988,0,3,0,-1
6109,Inden,-3.02709231484859,1.2123393033671832,-0.8435112583190774,1,3,1,-1
611,Kiesen,0.06286847217128325,3.1050956233528857,4.403337940635589,1,3,1,0
6110,Leuk,-1.8967099842000368,-2.0426550388903673,-0.9827397610376506,1,3,1,0
6111,Leukerbad,-1.9693049164903116,1.203814810069523,-2.4778853682614232,1,3,1,0
6112,Oberems,0.2407344049865548,-7.350648472045836,3.2575521469395508,2,3,2,-1
6113,Salgesch,-9.05957009132766,-3.0942028574149827,-6.320664937921541,0,3,0,0
6116,Varen,-6.196725508273805,-5.092443979364142,-4.54282745537952,0,3,0,0
6117,Guttet-Feschel,-6.744340050897143,-6.378734945506435,-1.211548276499822,0,3,0,-1
6118,Gampel-Bratsch,-5.241996990865053,-0.9527490131240661,-3.4284440430704,0,3,0,0
6119,Turtmann-Unterems,-5.227467756086598,-1.1164163461266787,-3.41632364257183,0,3,0,0
612,Konolfingen,0.12051871376439881,3.193462410050351,3.6250978383563446,1,3,1,0
613,Landiswil,-13.896558294329486,-4.922119824103084,-2.7888076615982635,0,2,0,0
6131,Bovernier,0.0005724408041859554,-6.316489853847876,-9.271136556092923,2,1,2,0
6133,Fully,3.797263617313894,-6.075183374208833,-5.913057862413545,2,1,2,0
6134,Isérables,-3.099441475033047,-1.6704818531769647,-9.16941985015523,0,1,0,0
6135,Leytron,-1.088023767998847,-3.463308493418147,-8.955474313831429,2,1,2,0
6136,Martigny,7.953225745270417,-2.229236590606398,-5.65272113343535,2,1,2,0
6137,Martigny-Combe,6.480237293158875,-4.943571028703268,-5.573742044828124,2,1,2,0
6139,Riddes,-0.6419659832386881,-5.599887152635719,-7.818106378556675,2,1,2,0
614,Linden,-15.798586515045356,-5.882331262311345,-4.070037974890705,0,2,0,0
6140,Saillon,4.160488535243403,-4.186444985087027,-6.432499057079515,2,1,2,0
6141,Saxon,1.4983072314246293,-10.966544156247911,-4.419539068212149,2,1,2,0
6142,Trient,4.1781537148598105,-2.1241220308980413,-7.726369133595205,2,1,2,-1
615,Mirchel,-10.051504302766237,-0.99832214248212,-2.295358370820394,0,2,0,0
6151,Champéry,1.0858880194018432,-0.37221251496126523,-9.15866432118155,2,1,2,0
6152,Collombey-Muraz,4.929772147061482,-5.6448203295397095,-6.37058493764621,2,1,2,0
6153,Monthey,7.0718445313847536,-3.688048672292787,-3.9293377918144903,2,1,2,0
6154,Port-Valais,3.052258831311367,-6.403689844919074,-4.1632252132506045,2,1,2,0
6155,Saint-Gingolph,2.892738399737515,-6.660739225352709,-4.896004897750538,2,1,2,0
6156,Troistorrents,0.7730901626878761,-6.619351727734861,-7.867236816024889,2,1,2,0
6157,Val-d'Illiez,-4.265640085328944,-8.05562095375964,-9.719871143389252,0,1,0,0
6158,Vionnaz,3.798935614831309,-2.6744963122131273,-7.907349778442254,2,1,2,0
6159,Vouvry,3.920743663130765,-4.525747663280724,-5.540668833445203,2,1,2,0
616,Münsingen,6.3422183918698565,6.3711600315504215,6.941217798834687,1,3,1,0
617,Niederhünigen,0.30722407289716774,1.7847235150827228,5.365092615060818,1,3,1,0
6172,Bister,-1.5035122911835004,-7.2818184187418264,10.736622362075526,2,1,2,-1
6173,Bitsch,-2.7030627899891466,-3.0696597039918005,1.139853722594817,1,3,1,0
6177,Grengiols,-0.9638983174460882,-5.0906636807828995,0.8395451753543711,2,3,2,-1
6181,Riederalp,-0.8996520338866162,2.7998820757966314,-2.9000972657343147,1,3,1,0
